Library Code,AREA,Subject ,Title,Author,Publication
PL-CPL-C++-004,,,Object Oriented Programming C++  SECOND edition,Balaguruswamy,TATA MCGRAW HILL
PL-CPL-C++-005,,,Object Oriented Programming C++  third edition,Balaguruswamy,TATA MCGRAW HILL
PL-CPL-C++-006,,,Object Oriented Programming C++  SECOND edition,Balaguruswamy,TATA MCGRAW HILL
PL-CPL-C++-007,,,Object Oriented Programming with c++,Poornachandra Sarang,PHI
PL-CPL-C++-008,,,PROGRAMMING IN C & C++,S. S. KHANDARE,S. CHAND
PL-CPL-C++-009,,,PROGRAMMING IN C++,J. B. DIXIT,FIREWALL
PL-CPL-C++-010,,,PROGRAMMING IN C++,J. B. DIXIT,FIREWALL
PL-CPL-C++-011,,,PROGRAMMING IN C++,P. B  MAHAPATRA,S. CHAND
PL-CPL-C++-012,,,REUSABILITY & SOFTWARE CONSTRUCTION C & C++,JERRY D. SMITH,WAILY
PL-CPL-C++-013,,,Object Oriented Programming TURBO C++,ROBERT LAFORE,GALGOTIA
PL-CPL-C++-014,,,COMPUTER PROGRAMMING IN C++,KHATEEB THAMPI,DREAMTECH
PL-CPL-C++-015,,,PROGRAMMING WITH ANSI C++,TRIVEDI,OXFORD
PL-CPL-C++-016,,,Object Oriented Programming C++  ,Balaguruswamy,TATA MCGRAW HILL
PL-CPL-C++-017,,,Object Oriented Programming C++  SECOND edition,Balaguruswamy,TATA MCGRAW HILL
PL-CPL-C++-018,,,Object Oriented Programming with C++,SAORAV SAHAY,OXFORD
HD-DSIP-001,Hardware & Device, Digital Signal Processing & Image Processing,INTRODUCTION TO DIGITAL AND DATA COMMINICATIONS,MICHAEL . MILLER,A JAICO
HD-DSIP-002,,,DIGITAL PRINCIPAL,"A. K. SINGH, MANISH TIWARI",NEW AGE
HD-DSIP-003,,,DIGITAL SIGNAL PROCESSING,BIJITH MARAKARKANDY,VIPUL
HD-DSIP-004,,,MATLAB DEMYSTIFIED,K K SARMA,VIKAS
HD-DSIP-005,,,DIGITAL IMAGE PROCESSING ,S. SRIDHAR,OXFORD
HD-EDC-001,Hardware & Device, Electronics Devices and Circuits,ELECTRONIC DEVICES AND CIRCUITS,RAVISH R. SINGH,NIRALI
HD-EDC-002,,,ELECTRONIC DEVICES AND LINEAR CIRCUITS,BAKSHI AND GODSE,TECHNICAL 
SE-SPCC-001,System Engineering,Systems Programming and Compiler Constructions,Systems Programming and Compiler Constructions,Sweta Loonkar,TechMax
ITR-SA-001,IT Resource Planning & System Design , Software Architecture,SOFTWARE ARCHITECTURE IN PRACTICE,"BASS, CLEMENTS, KAZMAN",PEARSON
HCI-HCI-001,Human Computer Interface, Human Computer Interaction, Human Computer Interaction,"DIX, FINLAY, ABOWD, BEALE",PEARSON
HCI-HCI-002,,,Essential computer and IT fundamentals for Engineering and Science Students,Dr. N.B. Vankateswarlu,S. Chand
ITR-PM-001,IT Resource Planning & System Design , Project Management,PROJECT MANAGEMENT,"MEREDITH, MANTEL",WILEY
HSS- EVS-001,Humanities and Social Sciences, Environment Studies, Environmental Studies,DR. J. P. SHARMA,UNIVERSITY SCIENCE PRESS
NC-DC-001,Network and Communication, Distributed Systems,DISTRIBUTED COMPUTING ,SUNITA MAHAJAN,OXFORD
NC-SS-001,Network and Communication, System Security, System Security,YOGESH KOTHARI,NANDU
